,date,open,close,high,low,volumme,Unnamed: 0
0,2014-07-21 00:00:00,169.14,169.14,169.14,169.14,0,
1,2014-07-22 00:00:00,171.67,171.67,171.67,171.67,0,
2,2014-07-23 00:00:00,171.84,171.84,171.84,171.84,0,
3,2014-07-24 00:00:00,173.5,173.5,173.5,173.5,0,
4,2014-07-25 00:00:00,171.78,171.78,171.78,171.78,0,
5,2014-07-28 00:00:00,170.81,170.81,170.81,170.81,0,
6,2014-07-29 00:00:00,170.81,170.81,170.81,170.81,0,
7,2014-07-30 00:00:00,171.07,171.07,171.07,171.07,0,
8,2014-07-31 00:00:00,167.07,167.07,167.07,167.07,0,
9,2014-08-01 00:00:00,164.32,164.32,164.32,164.32,0,
10,2014-08-04 00:00:00,164.96,164.96,164.96,164.96,0,
11,2014-08-05 00:00:00,163.86,163.86,163.86,163.86,0,
12,2014-08-06 00:00:00,161.55,161.55,161.55,161.55,0,
13,2014-08-07 00:00:00,160.12,160.12,160.12,160.12,0,
14,2014-08-08 00:00:00,159.23,159.23,159.23,159.23,0,
15,2014-08-11 00:00:00,161.88,161.88,161.88,161.88,0,
16,2014-08-12 00:00:00,161.67,161.67,161.67,161.67,0,
17,2014-08-13 00:00:00,162.47,162.47,162.47,162.47,0,
18,2014-08-14 00:00:00,162.52,162.52,162.52,162.52,0,
19,2014-08-18 00:00:00,164.39,164.39,164.39,164.39,0,
20,2014-08-19 00:00:00,166.06,166.06,166.06,166.06,0,
21,2014-08-20 00:00:00,165.97,165.97,165.97,165.97,0,
22,2014-08-21 00:00:00,167.16,167.16,167.16,167.16,0,
23,2014-08-22 00:00:00,167.04,167.04,167.04,167.04,0,
24,2014-08-25 00:00:00,168.96,168.96,168.96,168.96,0,
25,2014-08-26 00:00:00,169.93,169.93,169.93,169.93,0,
26,2014-08-27 00:00:00,170.94,170.94,170.94,170.94,0,
27,2014-08-28 00:00:00,169.52,169.52,169.52,169.52,0,
28,2014-08-29 00:00:00,170.08,170.08,170.08,170.08,0,
29,2014-09-01 00:00:00,169.95,169.95,169.95,169.95,0,
30,2014-09-02 00:00:00,170.02,170.02,170.02,170.02,0,
31,2014-09-03 00:00:00,171.17,171.17,171.17,171.17,0,
32,2014-09-04 00:00:00,174.01,174.01,174.01,174.01,0,
33,2014-09-05 00:00:00,174.63,174.63,174.63,174.63,0,
34,2014-09-08 00:00:00,174.11,174.11,174.11,174.11,0,
35,2014-09-09 00:00:00,172.91,172.91,172.91,172.91,0,
36,2014-09-10 00:00:00,172.57,172.57,172.57,172.57,0,
37,2014-09-11 00:00:00,172.8,172.8,172.8,172.8,0,
38,2014-09-12 00:00:00,172.9,172.9,172.9,172.9,0,
39,2014-09-15 00:00:00,171.15,171.15,171.15,171.15,0,
40,2014-09-16 00:00:00,170.45,170.45,170.45,170.45,0,
41,2014-09-17 00:00:00,170.96,170.96,170.96,170.96,0,
42,2014-09-18 00:00:00,172.48,172.48,172.48,172.48,0,
43,2014-09-19 00:00:00,172.36,172.36,172.36,172.36,0,
44,2014-09-22 00:00:00,170.28,170.28,170.28,170.28,0,
45,2014-09-23 00:00:00,168.06,168.06,168.06,168.06,0,
46,2014-09-24 00:00:00,169.64,169.64,169.64,169.64,0,
47,2014-09-25 00:00:00,168.09,168.09,168.09,168.09,0,
48,2014-09-26 00:00:00,169.1,169.1,169.1,169.1,0,
49,2014-09-29 00:00:00,168.28,168.28,168.28,168.28,0,
50,2014-09-30 00:00:00,169.57,169.57,169.57,169.57,0,
51,2014-10-01 00:00:00,167.01,167.01,167.01,167.01,0,
