,date,open,close,high,low,volumme,Unnamed: 0
0,2018-07-11 00:00:00,98.77,98.77,98.77,98.77,0,
1,2018-07-12 00:00:00,99.03,99.03,99.03,99.03,0,
2,2018-07-13 00:00:00,98.76,98.76,98.76,98.76,0,
3,2018-07-16 00:00:00,99.02,99.02,99.02,99.02,0,
4,2018-07-17 00:00:00,99.07,99.07,99.07,99.07,0,
5,2018-07-18 00:00:00,99.59,99.59,99.59,99.59,0,
6,2018-07-19 00:00:00,99.42,99.42,99.42,99.42,0,
7,2018-07-20 00:00:00,99.07,99.07,99.07,99.07,0,
8,2018-07-23 00:00:00,99.09,99.09,99.09,99.09,0,
9,2018-07-24 00:00:00,99.71,99.71,99.71,99.71,0,
10,2018-07-25 00:00:00,99.49,99.49,99.49,99.49,0,
11,2018-07-26 00:00:00,99.55,99.55,99.55,99.55,0,
12,2018-07-27 00:00:00,99.75,99.75,99.75,99.75,0,
13,2018-07-30 00:00:00,99.29,99.29,99.29,99.29,0,
14,2018-07-31 00:00:00,99.88,99.88,99.88,99.88,0,
15,2018-08-01 00:00:00,99.96,99.96,99.96,99.96,0,
16,2018-08-02 00:00:00,99.6,99.6,99.6,99.6,0,
17,2018-08-03 00:00:00,100.01,100.01,100.01,100.01,0,
18,2018-08-06 00:00:00,100.15,100.15,100.15,100.15,0,
19,2018-08-07 00:00:00,100.38,100.38,100.38,100.38,0,
20,2018-08-08 00:00:00,100.46,100.46,100.46,100.46,0,
21,2018-08-09 00:00:00,100.51,100.51,100.51,100.51,0,
22,2018-08-10 00:00:00,99.45,99.45,99.45,99.45,0,
23,2018-08-13 00:00:00,99.49,99.49,99.49,99.49,0,
24,2018-08-14 00:00:00,98.63,98.63,98.63,98.63,0,
25,2018-08-16 00:00:00,98.04,98.04,98.04,98.04,0,
26,2018-08-17 00:00:00,97.63,97.63,97.63,97.63,0,
27,2018-08-20 00:00:00,98.29,98.29,98.29,98.29,0,
28,2018-08-21 00:00:00,98.61,98.61,98.61,98.61,0,
29,2018-08-22 00:00:00,98.51,98.51,98.51,98.51,0,
30,2018-08-23 00:00:00,98.51,98.51,98.51,98.51,0,
31,2018-08-24 00:00:00,98.77,98.77,98.77,98.77,0,
32,2018-08-27 00:00:00,99.31,99.31,99.31,99.31,0,
33,2018-08-28 00:00:00,99.31,99.31,99.31,99.31,0,
34,2018-08-29 00:00:00,99.41,99.41,99.41,99.41,0,
35,2018-08-30 00:00:00,99.06,99.06,99.06,99.06,0,
36,2018-08-31 00:00:00,98.43,98.43,98.43,98.43,0,
37,2018-09-03 00:00:00,98.87,98.87,98.87,98.87,0,
38,2018-09-04 00:00:00,98.16,98.16,98.16,98.16,0,
39,2018-09-05 00:00:00,96.75,96.75,96.75,96.75,0,
40,2018-09-06 00:00:00,95.69,95.69,95.69,95.69,0,
41,2018-09-07 00:00:00,95.83,95.83,95.83,95.83,0,
42,2018-09-10 00:00:00,95.9,95.9,95.9,95.9,0,
