,date,open,close,high,low,volumme,Unnamed: 0
0,2021-05-12 00:00:00,214.07,214.07,214.07,214.07,0,
1,2021-05-14 00:00:00,214.18,214.18,214.18,214.18,0,
2,2021-05-17 00:00:00,214.97,214.97,214.97,214.97,0,
3,2021-05-18 00:00:00,215.51,215.51,215.51,215.51,0,
4,2021-05-19 00:00:00,214.82,214.82,214.82,214.82,0,
5,2021-05-20 00:00:00,215.96,215.96,215.96,215.96,0,
6,2021-05-21 00:00:00,216.09,216.09,216.09,216.09,0,
7,2021-05-25 00:00:00,218.49,218.49,218.49,218.49,0,
8,2021-05-26 00:00:00,219.2,219.2,219.2,219.2,0,
9,2021-05-27 00:00:00,220.19,220.19,220.19,220.19,0,
10,2021-05-28 00:00:00,221.99,221.99,221.99,221.99,0,
11,2021-05-31 00:00:00,223.03,223.03,223.03,223.03,0,
12,2021-06-01 00:00:00,223.1,223.1,223.1,223.1,0,
13,2021-06-02 00:00:00,223.25,223.25,223.25,223.25,0,
14,2021-06-03 00:00:00,222.46,222.46,222.46,222.46,0,
15,2021-06-04 00:00:00,222.51,222.51,222.51,222.51,0,
16,2021-06-07 00:00:00,222.05,222.05,222.05,222.05,0,
17,2021-06-08 00:00:00,223.21,223.21,223.21,223.21,0,
18,2021-06-09 00:00:00,224.2,224.2,224.2,224.2,0,
19,2021-06-10 00:00:00,224.05,224.05,224.05,224.05,0,
20,2021-06-11 00:00:00,225.22,225.22,225.22,225.22,0,
21,2021-06-14 00:00:00,225.45,225.45,225.45,225.45,0,
22,2021-06-15 00:00:00,225.46,225.46,225.46,225.46,0,
23,2021-06-16 00:00:00,225.75,225.75,225.75,225.75,0,
24,2021-06-17 00:00:00,225.99,225.99,225.99,225.99,0,
25,2021-06-18 00:00:00,227.09,227.09,227.09,227.09,0,
26,2021-06-21 00:00:00,226.19,226.19,226.19,226.19,0,
27,2021-06-22 00:00:00,226.81,226.81,226.81,226.81,0,
28,2021-06-24 00:00:00,227.76,227.76,227.76,227.76,0,
29,2021-06-25 00:00:00,228.95,228.95,228.95,228.95,0,
30,2021-06-28 00:00:00,230.06,230.06,230.06,230.06,0,
31,2021-06-29 00:00:00,230.94,230.94,230.94,230.94,0,
32,2021-06-30 00:00:00,231.56,231.56,231.56,231.56,0,
33,2021-07-01 00:00:00,232.55,232.55,232.55,232.55,0,
34,2021-07-02 00:00:00,231.92,231.92,231.92,231.92,0,
35,2021-07-05 00:00:00,231.91,231.91,231.91,231.91,0,
36,2021-07-06 00:00:00,232.95,232.95,232.95,232.95,0,
37,2021-07-07 00:00:00,232.97,232.97,232.97,232.97,0,
38,2021-07-08 00:00:00,231.02,231.02,231.02,231.02,0,
39,2021-07-09 00:00:00,231.85,231.85,231.85,231.85,0,
40,2021-07-12 00:00:00,233.25,233.25,233.25,233.25,0,
41,2021-07-13 00:00:00,233.4,233.4,233.4,233.4,0,
42,2021-07-14 00:00:00,233.96,233.96,233.96,233.96,0,
43,2021-07-15 00:00:00,233.53,233.53,233.53,233.53,0,
44,2021-07-16 00:00:00,232.66,232.66,232.66,232.66,0,
45,2021-07-19 00:00:00,230.32,230.32,230.32,230.32,0,
46,2021-07-20 00:00:00,233.1,233.1,233.1,233.1,0,
47,2021-07-21 00:00:00,233.09,233.09,233.09,233.09,0,
48,2021-07-22 00:00:00,235.18,235.18,235.18,235.18,0,
49,2021-07-23 00:00:00,234.74,234.74,234.74,234.74,0,
50,2021-07-27 00:00:00,235.49,235.49,235.49,235.49,0,
51,2021-07-28 00:00:00,236.02,236.02,236.02,236.02,0,
52,2021-07-29 00:00:00,236.95,236.95,236.95,236.95,0,
53,2021-07-30 00:00:00,237.23,237.23,237.23,237.23,0,
54,2021-08-02 00:00:00,237.8,237.8,237.8,237.8,0,
55,2021-08-03 00:00:00,238.27,238.27,238.27,238.27,0,
56,2021-08-04 00:00:00,239.56,239.56,239.56,239.56,0,
57,2021-08-05 00:00:00,240.59,240.59,240.59,240.59,0,
58,2021-08-06 00:00:00,241.28,241.28,241.28,241.28,0,
59,2021-08-09 00:00:00,242.32,242.32,242.32,242.32,0,
60,2021-08-10 00:00:00,242.02,242.02,242.02,242.02,0,
61,2021-08-11 00:00:00,241.8,241.8,241.8,241.8,0,
62,2021-08-12 00:00:00,241.23,241.23,241.23,241.23,0,
63,2021-08-13 00:00:00,241.36,241.36,241.36,241.36,0,
64,2021-08-16 00:00:00,240.64,240.64,240.64,240.64,0,
65,2021-08-17 00:00:00,240.82,240.82,240.82,240.82,0,
66,2021-08-18 00:00:00,242.06,242.06,242.06,242.06,0,
