,date,open,close,high,low,volumme,Unnamed: 0
0,2020-09-29 00:00:00,100.0,100.0,100.0,100.0,0,
1,2020-09-30 00:00:00,100.0,100.0,100.0,100.0,0,
2,2020-10-01 00:00:00,100.0,100.0,100.0,100.0,0,
3,2020-10-02 00:00:00,100.0,100.0,100.0,100.0,0,
4,2020-10-05 00:00:00,100.0,100.0,100.0,100.0,0,
5,2020-10-06 00:00:00,100.0,100.0,100.0,100.0,0,
6,2020-10-07 00:00:00,100.0,100.0,100.0,100.0,0,
7,2020-10-08 00:00:00,99.99,99.99,99.99,99.99,0,
8,2020-10-13 00:00:00,96.44,96.44,96.44,96.44,0,
9,2020-10-14 00:00:00,96.4,96.4,96.4,96.4,0,
10,2020-10-15 00:00:00,95.13,95.13,95.13,95.13,0,
11,2020-10-16 00:00:00,95.96,95.96,95.96,95.96,0,
12,2020-10-20 00:00:00,95.78,95.78,95.78,95.78,0,
13,2020-10-21 00:00:00,94.95,94.95,94.95,94.95,0,
14,2020-10-22 00:00:00,94.86,94.86,94.86,94.86,0,
15,2020-10-23 00:00:00,95.31,95.31,95.31,95.31,0,
16,2020-10-26 00:00:00,93.65,93.65,93.65,93.65,0,
17,2020-10-27 00:00:00,93.12,93.12,93.12,93.12,0,
18,2020-10-28 00:00:00,91.22,91.22,91.22,91.22,0,
19,2020-10-29 00:00:00,91.28,91.28,91.28,91.28,0,
20,2020-10-30 00:00:00,91.31,91.31,91.31,91.31,0,
21,2020-11-02 00:00:00,92.63,92.63,92.63,92.63,0,
22,2020-11-03 00:00:00,94.14,94.14,94.14,94.14,0,
23,2020-11-04 00:00:00,95.38,95.38,95.38,95.38,0,
24,2020-11-05 00:00:00,96.15,96.15,96.15,96.15,0,
25,2020-11-06 00:00:00,95.95,95.95,95.95,95.95,0,
26,2020-11-09 00:00:00,98.42,98.42,98.42,98.42,0,
27,2020-11-10 00:00:00,98.77,98.77,98.77,98.77,0,
28,2020-11-12 00:00:00,98.49,98.49,98.49,98.49,0,
29,2020-11-13 00:00:00,98.48,98.48,98.48,98.48,0,
30,2020-11-16 00:00:00,98.82,98.82,98.82,98.82,0,
31,2020-11-17 00:00:00,98.86,98.86,98.86,98.86,0,
32,2020-11-18 00:00:00,99.33,99.33,99.33,99.33,0,
33,2020-11-19 00:00:00,99.04,99.04,99.04,99.04,0,
34,2020-11-20 00:00:00,99.3,99.3,99.3,99.3,0,
35,2020-11-23 00:00:00,99.24,99.24,99.24,99.24,0,
36,2020-11-24 00:00:00,99.73,99.73,99.73,99.73,0,
37,2020-11-25 00:00:00,99.78,99.78,99.78,99.78,0,
38,2020-11-26 00:00:00,99.7,99.7,99.7,99.7,0,
39,2020-11-27 00:00:00,99.92,99.92,99.92,99.92,0,
40,2020-11-30 00:00:00,99.49,99.49,99.49,99.49,0,
41,2020-12-01 00:00:00,99.86,99.86,99.86,99.86,0,
42,2020-12-02 00:00:00,99.91,99.91,99.91,99.91,0,
43,2020-12-03 00:00:00,99.84,99.84,99.84,99.84,0,
44,2020-12-04 00:00:00,100.02,100.02,100.02,100.02,0,
45,2020-12-07 00:00:00,99.93,99.93,99.93,99.93,0,
46,2020-12-08 00:00:00,99.92,99.92,99.92,99.92,0,
47,2020-12-09 00:00:00,100.0,100.0,100.0,100.0,0,
48,2020-12-10 00:00:00,99.85,99.85,99.85,99.85,0,
49,2020-12-11 00:00:00,99.39,99.39,99.39,99.39,0,
50,2020-12-15 00:00:00,99.81,99.81,99.81,99.81,0,
51,2020-12-17 00:00:00,100.14,100.14,100.14,100.14,0,
52,2020-12-18 00:00:00,99.88,99.88,99.88,99.88,0,
53,2020-12-21 00:00:00,98.64,98.64,98.64,98.64,0,
54,2020-12-22 00:00:00,99.28,99.28,99.28,99.28,0,
55,2020-12-23 00:00:00,99.73,99.73,99.73,99.73,0,
56,2020-12-24 00:00:00,99.79,99.79,99.79,99.79,0,
57,2020-12-28 00:00:00,100.13,100.13,100.13,100.13,0,
58,2020-12-29 00:00:00,100.16,100.16,100.16,100.16,0,
59,2020-12-30 00:00:00,100.0,100.0,100.0,100.0,0,
60,2020-12-31 00:00:00,99.71,99.71,99.71,99.71,0,
61,2021-01-04 00:00:00,99.97,99.97,99.97,99.97,0,
62,2021-01-06 00:00:00,100.5,100.5,100.5,100.5,0,
63,2021-01-07 00:00:00,100.55,100.55,100.55,100.55,0,
64,2021-01-08 00:00:00,100.74,100.74,100.74,100.74,0,
65,2021-01-11 00:00:00,100.5,100.5,100.5,100.5,0,
66,2021-01-14 00:00:00,100.71,100.71,100.71,100.71,0,
67,2021-01-15 00:00:00,100.38,100.38,100.38,100.38,0,
68,2021-01-18 00:00:00,100.23,100.23,100.23,100.23,0,
69,2021-01-19 00:00:00,100.18,100.18,100.18,100.18,0,
70,2021-01-20 00:00:00,100.41,100.41,100.41,100.41,0,
71,2021-01-21 00:00:00,100.23,100.23,100.23,100.23,0,
72,2021-01-22 00:00:00,100.11,100.11,100.11,100.11,0,
73,2021-01-25 00:00:00,99.57,99.57,99.57,99.57,0,
74,2021-01-26 00:00:00,99.83,99.83,99.83,99.83,0,
75,2021-01-27 00:00:00,99.19,99.19,99.19,99.19,0,
76,2021-01-28 00:00:00,99.07,99.07,99.07,99.07,0,
77,2021-02-01 00:00:00,98.89,98.89,98.89,98.89,0,
78,2021-02-02 00:00:00,99.58,99.58,99.58,99.58,0,
79,2021-02-03 00:00:00,99.91,99.91,99.91,99.91,0,
80,2021-02-04 00:00:00,100.31,100.31,100.31,100.31,0,
81,2021-02-05 00:00:00,100.48,100.48,100.48,100.48,0,
82,2021-02-08 00:00:00,100.57,100.57,100.57,100.57,0,
83,2021-02-09 00:00:00,100.62,100.62,100.62,100.62,0,
84,2021-02-10 00:00:00,100.49,100.49,100.49,100.49,0,
85,2021-02-11 00:00:00,100.67,100.67,100.67,100.67,0,
86,2021-02-16 00:00:00,100.95,100.95,100.95,100.95,0,
87,2021-02-17 00:00:00,100.74,100.74,100.74,100.74,0,
88,2021-02-18 00:00:00,100.58,100.58,100.58,100.58,0,
89,2021-02-19 00:00:00,100.85,100.85,100.85,100.85,0,
90,2021-02-22 00:00:00,100.63,100.63,100.63,100.63,0,
91,2021-02-23 00:00:00,100.55,100.55,100.55,100.55,0,
92,2021-02-24 00:00:00,100.7,100.7,100.7,100.7,0,
93,2021-02-25 00:00:00,100.81,100.81,100.81,100.81,0,
94,2021-02-26 00:00:00,100.34,100.34,100.34,100.34,0,
95,2021-03-01 00:00:00,101.4,101.4,101.4,101.4,0,
96,2021-03-02 00:00:00,101.53,101.53,101.53,101.53,0,
97,2021-03-03 00:00:00,101.61,101.61,101.61,101.61,0,
98,2021-03-04 00:00:00,101.51,101.51,101.51,101.51,0,
99,2021-03-05 00:00:00,101.17,101.17,101.17,101.17,0,
100,2021-03-09 00:00:00,102.31,102.31,102.31,102.31,0,
101,2021-03-10 00:00:00,102.56,102.56,102.56,102.56,0,
102,2021-03-11 00:00:00,102.93,102.93,102.93,102.93,0,
103,2021-03-12 00:00:00,102.78,102.78,102.78,102.78,0,
104,2021-03-15 00:00:00,102.8,102.8,102.8,102.8,0,
105,2021-03-16 00:00:00,102.95,102.95,102.95,102.95,0,
106,2021-03-17 00:00:00,102.97,102.97,102.97,102.97,0,
107,2021-03-18 00:00:00,103.13,103.13,103.13,103.13,0,
108,2021-03-19 00:00:00,102.89,102.89,102.89,102.89,0,
109,2021-03-22 00:00:00,102.87,102.87,102.87,102.87,0,
110,2021-03-23 00:00:00,102.96,102.96,102.96,102.96,0,
111,2021-03-24 00:00:00,103.04,103.04,103.04,103.04,0,
112,2021-03-25 00:00:00,103.07,103.07,103.07,103.07,0,
113,2021-03-29 00:00:00,103.48,103.48,103.48,103.48,0,
114,2021-03-30 00:00:00,103.71,103.71,103.71,103.71,0,
115,2021-03-31 00:00:00,103.66,103.66,103.66,103.66,0,
116,2021-04-01 00:00:00,103.85,103.85,103.85,103.85,0,
117,2021-04-06 00:00:00,103.92,103.92,103.92,103.92,0,
118,2021-04-07 00:00:00,103.94,103.94,103.94,103.94,0,
119,2021-04-08 00:00:00,104.08,104.08,104.08,104.08,0,
120,2021-04-09 00:00:00,104.1,104.1,104.1,104.1,0,
121,2021-04-12 00:00:00,104.03,104.03,104.03,104.03,0,
122,2021-04-13 00:00:00,104.12,104.12,104.12,104.12,0,
123,2021-04-14 00:00:00,104.16,104.16,104.16,104.16,0,
124,2021-04-15 00:00:00,104.22,104.22,104.22,104.22,0,
125,2021-04-16 00:00:00,104.45,104.45,104.45,104.45,0,
126,2021-04-19 00:00:00,104.35,104.35,104.35,104.35,0,
127,2021-04-20 00:00:00,103.93,103.93,103.93,103.93,0,
128,2021-04-21 00:00:00,104.08,104.08,104.08,104.08,0,
129,2021-04-22 00:00:00,104.77,104.77,104.77,104.77,0,
130,2021-04-23 00:00:00,104.67,104.67,104.67,104.67,0,
131,2021-04-26 00:00:00,104.67,104.67,104.67,104.67,0,
132,2021-04-27 00:00:00,104.64,104.64,104.64,104.64,0,
133,2021-04-28 00:00:00,104.65,104.65,104.65,104.65,0,
134,2021-04-29 00:00:00,104.59,104.59,104.59,104.59,0,
135,2021-04-30 00:00:00,104.47,104.47,104.47,104.47,0,
136,2021-05-03 00:00:00,104.61,104.61,104.61,104.61,0,
137,2021-05-05 00:00:00,104.46,104.46,104.46,104.46,0,
138,2021-05-06 00:00:00,104.39,104.39,104.39,104.39,0,
139,2021-05-07 00:00:00,104.6,104.6,104.6,104.6,0,
140,2021-05-10 00:00:00,104.64,104.64,104.64,104.64,0,
141,2021-05-11 00:00:00,104.25,104.25,104.25,104.25,0,
142,2021-05-12 00:00:00,104.15,104.15,104.15,104.15,0,
143,2021-05-14 00:00:00,104.49,104.49,104.49,104.49,0,
144,2021-05-17 00:00:00,104.45,104.45,104.45,104.45,0,
145,2021-05-18 00:00:00,104.47,104.47,104.47,104.47,0,
146,2021-05-19 00:00:00,104.07,104.07,104.07,104.07,0,
147,2021-05-20 00:00:00,104.33,104.33,104.33,104.33,0,
148,2021-05-21 00:00:00,104.43,104.43,104.43,104.43,0,
149,2021-05-25 00:00:00,104.62,104.62,104.62,104.62,0,
150,2021-05-26 00:00:00,104.63,104.63,104.63,104.63,0,
151,2021-05-27 00:00:00,104.74,104.74,104.74,104.74,0,
152,2021-05-28 00:00:00,104.9,104.9,104.9,104.9,0,
153,2021-05-31 00:00:00,104.74,104.74,104.74,104.74,0,
154,2021-06-01 00:00:00,104.8,104.8,104.8,104.8,0,
155,2021-06-02 00:00:00,104.85,104.85,104.85,104.85,0,
156,2021-06-03 00:00:00,104.8,104.8,104.8,104.8,0,
157,2021-06-04 00:00:00,104.88,104.88,104.88,104.88,0,
158,2021-06-07 00:00:00,104.93,104.93,104.93,104.93,0,
159,2021-06-08 00:00:00,104.94,104.94,104.94,104.94,0,
160,2021-06-09 00:00:00,104.96,104.96,104.96,104.96,0,
161,2021-06-10 00:00:00,105.0,105.0,105.0,105.0,0,
162,2021-06-11 00:00:00,105.13,105.13,105.13,105.13,0,
163,2021-06-14 00:00:00,105.14,105.14,105.14,105.14,0,
164,2021-06-15 00:00:00,105.14,105.14,105.14,105.14,0,
165,2021-06-16 00:00:00,105.14,105.14,105.14,105.14,0,
166,2021-06-17 00:00:00,105.17,105.17,105.17,105.17,0,
