,date,open,close,high,low,volumme,Unnamed: 0
0,2014-06-23 00:00:00,50.35,50.35,50.35,50.35,0,
1,2014-06-24 00:00:00,50.18,50.18,50.18,50.18,0,
2,2014-06-25 00:00:00,49.63,49.63,49.63,49.63,0,
3,2014-06-26 00:00:00,49.64,49.64,49.64,49.64,0,
4,2014-06-27 00:00:00,49.46,49.46,49.46,49.46,0,
5,2014-06-30 00:00:00,49.19,49.19,49.19,49.19,0,
6,2014-07-01 00:00:00,49.51,49.51,49.51,49.51,0,
7,2014-07-02 00:00:00,49.71,49.71,49.71,49.71,0,
8,2014-07-03 00:00:00,50.13,50.13,50.13,50.13,0,
9,2014-07-04 00:00:00,49.84,49.84,49.84,49.84,0,
10,2014-07-07 00:00:00,49.24,49.24,49.24,49.24,0,
11,2014-07-08 00:00:00,48.19,48.19,48.19,48.19,0,
12,2014-07-09 00:00:00,48.25,48.25,48.25,48.25,0,
13,2014-07-10 00:00:00,47.35,47.35,47.35,47.35,0,
14,2014-07-11 00:00:00,47.37,47.37,47.37,47.37,0,
15,2014-07-15 00:00:00,47.32,47.32,47.32,47.32,0,
16,2014-07-16 00:00:00,48.12,48.12,48.12,48.12,0,
17,2014-07-17 00:00:00,47.68,47.68,47.68,47.68,0,
18,2014-07-18 00:00:00,47.61,47.61,47.61,47.61,0,
19,2014-07-21 00:00:00,47.29,47.29,47.29,47.29,0,
20,2014-07-22 00:00:00,47.69,47.69,47.69,47.69,0,
21,2014-07-23 00:00:00,47.76,47.76,47.76,47.76,0,
22,2014-07-24 00:00:00,48.07,48.07,48.07,48.07,0,
23,2014-07-25 00:00:00,47.66,47.66,47.66,47.66,0,
24,2014-07-28 00:00:00,47.4,47.4,47.4,47.4,0,
25,2014-07-29 00:00:00,47.51,47.51,47.51,47.51,0,
26,2014-07-30 00:00:00,47.23,47.23,47.23,47.23,0,
27,2014-07-31 00:00:00,46.66,46.66,46.66,46.66,0,
28,2014-08-01 00:00:00,45.67,45.67,45.67,45.67,0,
29,2014-08-04 00:00:00,45.49,45.49,45.49,45.49,0,
30,2014-08-05 00:00:00,45.17,45.17,45.17,45.17,0,
31,2014-08-06 00:00:00,44.55,44.55,44.55,44.55,0,
32,2014-08-07 00:00:00,44.07,44.07,44.07,44.07,0,
33,2014-08-08 00:00:00,43.87,43.87,43.87,43.87,0,
34,2014-08-11 00:00:00,44.74,44.74,44.74,44.74,0,
35,2014-08-12 00:00:00,44.61,44.61,44.61,44.61,0,
36,2014-08-13 00:00:00,44.73,44.73,44.73,44.73,0,
37,2014-08-14 00:00:00,44.86,44.86,44.86,44.86,0,
38,2014-08-18 00:00:00,45.25,45.25,45.25,45.25,0,
39,2014-08-19 00:00:00,45.56,45.56,45.56,45.56,0,
40,2014-08-20 00:00:00,45.48,45.48,45.48,45.48,0,
41,2014-08-21 00:00:00,45.97,45.97,45.97,45.97,0,
